CHEBI_10607,n-propyl gallate
ENVO_02000080,obsolete shellfish product
ENVO_02000081,letter
ENVO_02000082,obsolete unpasteurized goat milk cheese
ENVO_02000083,obsolete Pecorino cheese
ENVO_02000084,goat manure
ENVO_02000085,obsolete unpasteurized sheep milk cheese
ENVO_02000086,obsolete unpasteruized cow milk cheese
ENVO_02000087,obsolete unpasteurized camel milk
ENVO_02000088,obsolete unpasteurized caprine milk
ENVO_02000089,obsolete unpasteurized ovine milk
ENVO_02000091,coal
ENVO_02000092,iron mine
ENVO_02000093,uranium mine
ENVO_02000094,ore
ENVO_02000095,uranium ore
ENVO_02000096,iron ore
ENVO_02000097,gold ore
ENVO_02000098,platinum ore
ENVO_02000099,coal dust
ENVO_02000100,mineral dust
ENVO_02000101,fibrous dust
ENVO_02000102,fibrous glass dust
ENVO_02000103,metallic dust
ENVO_02000104,cement dust
ENVO_02000105,clay dust
ENVO_02000106,asbestos dust
ENVO_02000107,grain dust
ENVO_02000108,cotton dust
ENVO_02000109,dust from plant parts
ENVO_02000110,open-pit mine
ENVO_02000111,copper ore
ENVO_02000112,fume
ENVO_02000113,welding fume
ENVO_02000114,paraffin wax fume
ENVO_02000115,vanadium fume
ENVO_02000116,aluminum welding fume
ENVO_02000117,natural wax
ENVO_02000118,paraffin wax
ENVO_02000119,oil shale
ENVO_02000120,zinc chloride fume
ENVO_02000121,peat extraction
ENVO_02000122,peat drainage
ENVO_02000123,paint
ENVO_02000124,lead paint
ENVO_02000125,transportation
ENVO_02500000,environmental system process
ENVO_02500001,desertification
ENVO_02500002,flooding
ENVO_02500003,atmospheric process
ENVO_02500004,greenhouse effect
ENVO_02500005,land degradation
ENVO_02500006,results in transformation into
ENVO_02500007,ecosystem-wide photosynthesis
ENVO_02500008,ecosystem-wide respiration
ENVO_02500009,biogeochemical cycling
ENVO_02500010,carbon cycling
ENVO_02500011,afforestation
ENVO_02500012,deforestation
ENVO_02500013,reforestation
ENVO_02500014,forest process
ENVO_02500015,forest area expansion
ENVO_02500016,results in expansion of
ENVO_02500017,obsolete anthropogenic reforestation
ENVO_02500018,algal bloom process
ENVO_02500019,alga
ENVO_02500020,results in proliferation of
ENVO_02500021,algal bloom collapse
ENVO_02500022,algal bloom process phase
ENVO_02500023,algal production
ENVO_02500024,accumulation of toxins from algal bloom process
ENVO_02500025,degradation of toxins from algal bloom process
ENVO_02500026,anthropogenic modulatory intervention process
ENVO_02500027,anthropogenic environmental process
ENVO_02500028,erosion
ENVO_02500029,bedrock dissolution
ENVO_02500030,biogeochemical process
ENVO_02500031,hydrological process
ENVO_02500032,revegetation
ENVO_02500033,evapotranspiration
ENVO_02500034,evaporation
ENVO_02500035,transpiration
ENVO_02500036,environmental pollution
ENVO_02500037,air pollution
ENVO_02500038,soil pollution
ENVO_02500039,water pollution
ENVO_02500040,plastic pollution
ENVO_02500041,environmental monitoring
ENVO_02500042,pollution control
ENVO_02500043,pollution monitoring
ENVO_02500044,urban pollution
ENVO_03000000,neve
ENVO_03000002,firn
ENVO_03000003,nivation
ENVO_03000004,glacial ice
ENVO_03000005,erosionally enriched glacial ice
ENVO_03000006,glacial erosion process
ENVO_03000007,blue ice
ENVO_03000008,compaction process
ENVO_03000009,material accumulation process
ENVO_03000010,material transport process
ENVO_03000011,ice gain
ENVO_03000012,glacial transport process
ENVO_03000013,cirque glacier
ENVO_03000015,geographic basin
ENVO_03000016,material decumulation process
ENVO_03000017,glacial ice loss
ENVO_03000018,englacial stream
ENVO_03000020,aeolian transport process
ENVO_03000021,soot
ENVO_03000025,erosionally enriched ice
ENVO_03000027,powdery snow
ENVO_03000029,glacial ice gain
ENVO_03000030,glacial ice calving process
ENVO_03000031,iceberg calving process
ENVO_03000032,calving of ice from an iceberg
ENVO_03000033,marine sediment
ENVO_03000034,shallow marine sediment
ENVO_03000035,supraglacial lake
ENVO_03000036,sedimentation in a water body
ENVO_03000037,ice ablation zone
ENVO_03000038,cryoconite deposit
ENVO_03000039,cryoconite hole
ENVO_03000040,melt pond
ENVO_03000041,brine channel
ENVO_03000042,brine channel formation process
ENVO_03000043,material transformation process
ENVO_03000044,sea ice formation process
ENVO_03000045,brine rejection from seawater
ENVO_03000046,frazil ice
ENVO_03000047,frazil ice formation
ENVO_03000048,thaw hole
ENVO_03000050,atmosphere-exposed melt pond
ENVO_03000051,ice-encased melt pond
ENVO_03000053,intraglacial lake
ENVO_03000054,depositional process
ENVO_03000055,desublimation of water vapour into ice
ENVO_03000056,new ice formation process
ENVO_03000057,obsolete sea ice formation process
ENVO_03000058,nilas formation process
ENVO_03000059,young ice formation process
ENVO_03000060,first year ice formation process
ENVO_03000061,second year ice formation
ENVO_03000062,multiyear ice formation process
ENVO_03000063,new ice
ENVO_03000065,ice floe
ENVO_03000066,sea ice floe
ENVO_03000067,pancake ice
ENVO_03000068,nilas
ENVO_03000069,young ice
ENVO_03000071,first year ice
ENVO_03000072,second year ice
ENVO_03000073,multiyear ice
ENVO_03000074,grease ice layer
ENVO_03000075,shuga
ENVO_03000076,slush ice
ENVO_03000077,slush ice layer
ENVO_03000078,slush formation process
ENVO_03000079,shuga formation process
ENVO_03000082,thermokarst lake
ENVO_03000083,methane-releasing thermokarst lake
ENVO_03000084,thermokarst depression
ENVO_03000085,thermokarst
ENVO_03000086,permafrost thawing process
ENVO_03000088,methane-laden permafrost
ENVO_03000089,methane-sourced permafrost crater
ENVO_03000090,explosion process
ENVO_03000091,permafrost methane explosion
ENVO_03000092,gas emission process
ENVO_03000093,hydrocarbon gas emission process
ENVO_03000094,methane gas emission process
ENVO_03000095,season generating process
ENVO_03000096,season
ENVO_03000097,warm season
ENVO_03000098,cold season
ENVO_03000099,seasonal melting process
ENVO_03000101,solid-phase sintering
ENVO_03000102,glacial sintering
ENVO_03000103,aeolian transport of snow
ENVO_03000104,snow drift formation
ENVO_03000105,slab avalanche
ENVO_03000106,powdery snow avalanche
ENVO_03000107,wet snow avalanche
ENVO_03000108,slab snow
ENVO_03000110,cryoform
ENVO_03000111,snow mass
ENVO_03000112,snow drift
ENVO_03000113,snow patch
ENVO_03000114,seasonal snow patch
ENVO_03000115,perennial snow patch
ENVO_03000116,snowpack
ENVO_03000117,channel
ENVO_03000118,atmosphere and water column exposed melt pond
ENVO_03000119,water column exposed melt pond
ENVO_03000120,subglacial lake
ENVO_03000121,erosion through nivation
ENVO_08000001,axilla skin environment
ENVO_08000002,mouth environment
ENVO_09000001,solubility of carbon atom in environmental material
ENVO_09000002,solubility of carbon atom in soil
ENVO_09000003,solubility of carbon atom in water
ENVO_09000004,amount of carbon atom in environmental material
ENVO_09000005,amount of carbon atom in soil
ENVO_09000006,amount of carbon atom in water
ENVO_09000007,concentration of of carbon atom in environmental material
ENVO_09000008,concentration of of carbon atom in soil
ENVO_09000009,concentration of of carbon atom in water
ENVO_09000010,solubility of nitrogen atom in environmental material
ENVO_09000011,solubility of nitrogen atom in soil
ENVO_09000012,solubility of nitrogen atom in water
ENVO_09000013,amount of nitrogen atom in environmental material
ENVO_09000014,amount of nitrogen atom in soil
ENVO_09000015,amount of nitrogen atom in water
ENVO_09000016,concentration of of nitrogen atom in environmental material
ENVO_09000017,concentration of of nitrogen atom in soil
ENVO_09000018,concentration of of nitrogen atom in water
ENVO_09000019,concentration of chloride in water
ENVO_09100001,dissolved carbon atom in environmental material
ENVO_09100002,dissolved carbon atom in soil
ENVO_09100003,dissolved carbon atom in water
ENVO_09100004,dissolved nitrogen atom in environmental material
ENVO_09100005,dissolved nitrogen atom in soil
ENVO_09100006,dissolved nitrogen atom in water
ENVO_09200000,temperature of environmental material
ENVO_09200001,temperature of air
ENVO_09200002,environmental system process quality
ENVO_09200003,atmospheric wind intensity
ENVO_09200004,porosity of soil
ENVO_09200005,mass density of soil
ENVO_09200006,concentration of of ammonium in soil
ENVO_09200007,concentration of of nitrate in soil
ENVO_09200008,composition of soil
ENVO_09200009,structure of soil
ENVO_09200010,acidity of soil
ENVO_09200011,pressure of air
ENVO_09200012,temperature of soil
ENVO_09200013,wetness of soil
ENVO_09200014,temperature of water
ENVO_09200015,humidity of soil
ENVO_09200020,concentration of nitrate in groundwater
ENVO_1000745,drought
ENVO_1000746,marine mucilage
ENVO_1000747,exudation of carbohydrates
ENVO_1000748,island formation process
ENVO_1000749,microcontinental island
ENVO_1000750,depositional island
ENVO_1000751,barrier island
ENVO_2000000,chemical product
ENVO_2000001,creosote
ENVO_2000002,industrial wastewate treatment plant
ENVO_2000003,agricultural wastewater treatment plant
ENVO_2000004,algal bloom
ENVO_2000005,freshwater algal bloom
ENVO_2000006,nest of termite
ENVO_2100000,anatomical entity environment
ENVO_2100001,determined by
ENVO_2100002,intestine environment
ENVO_2100003,skin environment
ENVO_2100004,integumental system environment
ENVO_2100005,face skin environment
ENVO_2100006,feather environment
ENVO_2100007,determined by part of
GAZ_00000457,AFRICA
GAZ_00000458,NORTH AMERICA
GAZ_00000459,SOUTH AMERICA
GAZ_00000460,Eurasia
GAZ_00000462,ANTARCTICA
GAZ_00000463,AUSTRALIA
GAZ_00000464,EUROPE
GAZ_00000465,ASIA
GAZ_00000469,NEW ZEALAND
GAZ_00000553,"AFRICA, SOUTHERN"
GAZ_00000554,"AFRICA, WESTERN"
GAZ_00000555,"AFRICA, NORTHERN"
GAZ_00000556,"AFRICA, EASTERN"
GAZ_00000557,AMERICAN SAMOA
GAZ_00000558,TURKEY
GAZ_00000559,"ASIA, SOUTHEAST"
GAZ_00000560,SUDAN
GAZ_00000562,TUNISIA
GAZ_00000563,ALGERIA
GAZ_00000564,WESTERN SAHARA
GAZ_00000565,MOROCCO
GAZ_00000566,LIBYA
GAZ_00000567,ETHIOPIA
GAZ_00000581,Eritrea
GAZ_00000582,DJIBOUTI
GAZ_00000583,MAURITANIA
GAZ_00000584,MALI
GAZ_00000585,NIGER
GAZ_00000586,CHAD
GAZ_00000587,Sub-saharan africa
GAZ_00000588,"AFRICA, CENTRAL"
GAZ_00000843,ICELAND
GAZ_00000904,BENIN
GAZ_00000905,BURKINA FASO
GAZ_00000906,COTE D'IVOIRE
GAZ_00000907,GAMBIA
GAZ_00000908,GHANA
GAZ_00000909,GUINEA
GAZ_00000910,GUINEA-BISSAU
GAZ_00000911,LIBERIA
GAZ_00000912,NIGERIA
GAZ_00000913,SENEGAL
GAZ_00000914,SIERRA LEONE
GAZ_00000915,TOGO
GAZ_00001086,ZAIRE
GAZ_00001087,RWANDA
GAZ_00001088,CONGO
GAZ_00001089,CENTRAL AFRICAN REPUBLIC
GAZ_00001090,BURUNDI
GAZ_00001091,EQUATORIAL GUINEA
GAZ_00001092,GABON
GAZ_00001093,CAMEROON
GAZ_00001094,SOUTH AFRICA
GAZ_00001095,ANGOLA
GAZ_00001096,NAMIBIA
GAZ_00001097,BOTSWANA
GAZ_00001098,LESOTHO
GAZ_00001099,SWAZILAND
GAZ_00001100,MOZAMBIQUE
GAZ_00001101,KENYA
GAZ_00001102,UGANDA
GAZ_00001103,TANZANIA
GAZ_00001104,SOMALIA
GAZ_00001105,MADAGASCAR
GAZ_00001106,zimbabwe
GAZ_00001107,ZAMBIA
GAZ_00001227,CAPE VERDE
GAZ_00001251,BARBADOS
GAZ_00001264,BERMUDA
GAZ_00001412,FALKLAND ISLANDS
GAZ_00001453,BOUVET ISLAND
GAZ_00001507,GREENLAND
GAZ_00001539,Channel Islands
GAZ_00002459,UNITED STATES
GAZ_00002461,CALIFORNIA
GAZ_00002463,"ASIA, CENTRAL"
GAZ_00002464,MIDDLE EAST
GAZ_00002467,Arabian Peninsula
GAZ_00002468,Kurdistan
GAZ_00002471,Eastern Asia
GAZ_00002472,"ASIA, SOUTHERN"
GAZ_00002473,JORDAN
GAZ_00002474,SYRIA
GAZ_00002475,Occupied Palestinian Territory
GAZ_00002476,ISRAEL
GAZ_00002478,LEBANON
GAZ_00002511,BOLIVIA
GAZ_00002514,NEW YORK
GAZ_00002515,OREGON
GAZ_00002516,French Guiana
GAZ_00002518,ARIZONA
GAZ_00002519,MARYLAND
GAZ_00002520,NORTH CAROLINA
GAZ_00002521,ALASKA
GAZ_00002522,GUYANA
GAZ_00002524,SOUTH CAROLINA
GAZ_00002525,Suriname
GAZ_00002531,RHODE ISLAND
GAZ_00002533,WYOMING
GAZ_00002537,MASSACHUSETTS
GAZ_00002539,MINNESOTA
GAZ_00002542,PENNSYLVANIA
GAZ_00002546,OKLAHOMA
GAZ_00002553,WASHINGTON
GAZ_00002557,NEW JERSEY
GAZ_00002560,CANADA
GAZ_00002561,NEWFOUNDLAND
GAZ_00002562,BRITISH COLUMBIA
GAZ_00002563,ONTARIO
GAZ_00002564,YUKON TERRITORY
GAZ_00002565,NOVA SCOTIA
GAZ_00002566,ALBERTA
GAZ_00002567,NORTHWEST TERRITORIES
GAZ_00002569,SASKATCHEWAN
GAZ_00002570,NEW BRUNSWICK
GAZ_00002571,MANITOBA
GAZ_00002572,PRINCE EDWARD ISLAND
GAZ_00002580,TEXAS
GAZ_00002586,WISCONSIN
GAZ_00002591,CONNECTICUT
GAZ_00002602,MAINE
GAZ_00002606,MONTANA
GAZ_00002611,GEORGIA
GAZ_00002635,DENMARK
GAZ_00002637,UNITED KINGDOM
GAZ_00002639,SCOTLAND
GAZ_00002640,WALES
GAZ_00002641,ENGLAND
GAZ_00002646,GERMAN FEDERAL REPUBLIC
GAZ_00002650,ITALY
GAZ_00002699,NORWAY
GAZ_00002719,CROATIA
GAZ_00002721,RUSSIA
GAZ_00002724,UKRAINE
GAZ_00002729,SWEDEN
GAZ_00002733,BAHAMAS
GAZ_00002747,JAPAN
GAZ_00002801,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF"
GAZ_00002802,"KOREA, REPUBLIC OF"
GAZ_00002825,CHILE
GAZ_00002828,BRAZIL
GAZ_00002839,INDIA
GAZ_00002845,"CHINA, PEOPLES REPUBLIC OF"
GAZ_00002846,"ASIA, NORTHEAST"
GAZ_00002852,MEXICO
GAZ_00002878,DELAWARE
GAZ_00002888,FLORIDA
GAZ_00002891,CENTRAL AMERICA
GAZ_00002892,PANAMA
GAZ_00002894,HONDURAS
GAZ_00002901,COSTA RICA
GAZ_00002902,COCOS ISLANDS
GAZ_00002912,ECUADOR
GAZ_00002918,FRENCH POLYNESIA
GAZ_00002928,ARGENTINA
GAZ_00002929,COLOMBIA
GAZ_00002930,URUGUAY
GAZ_00002931,VENEZUELA
GAZ_00002932,PERU
GAZ_00002933,PARAGUAY
GAZ_00002934,BELIZE
GAZ_00002935,EL SALVADOR
GAZ_00002936,GUATEMALA
GAZ_00002937,FINLAND
GAZ_00002938,BELGIUM
GAZ_00002939,POLAND
GAZ_00002941,SWITZERLAND
GAZ_00002942,AUSTRIA
GAZ_00002943,IRELAND
GAZ_00002945,GREECE
GAZ_00002946,NETHERLANDS
GAZ_00002947,LUXEMBOURG
GAZ_00002948,Andorra
GAZ_00002950,BULGARIA
GAZ_00002951,ROMANIA
GAZ_00002952,HUNGARY
GAZ_00002953,ALBANIA
GAZ_00002954,CZECH REPUBLIC
GAZ_00002955,SLOVENIA
GAZ_00002956,SLOVAKIA
GAZ_00002957,SERBIA
GAZ_00002958,LATVIA
GAZ_00002959,ESTONIA
GAZ_00002960,LITHUANIA
GAZ_00002978,NICARAGUA
GAZ_00003096,WESTERN STATES
GAZ_00003102,SAN MARINO
GAZ_00003103,VATICAN CITY
GAZ_00003142,ILLINOIS
GAZ_00003152,MICHIGAN
GAZ_00003171,VIRGINIA
GAZ_00003175,DISTRICT OF COLUMBIA
GAZ_00003202,MACAU
GAZ_00003203,HONG KONG
GAZ_00003706,GUAM
GAZ_00003727,INDONESIA
GAZ_00003731,BALI
GAZ_00003744,THAILAND
GAZ_00003750,BANGLADESH
GAZ_00003756,VIET NAM
GAZ_00003762,CUBA
GAZ_00003767,TRINIDAD AND TOBAGO
GAZ_00003781,JAMAICA
GAZ_00003857,MONACO
GAZ_00003858,LIECHTENSTEIN
GAZ_00003897,MOLDOVA
GAZ_00003901,BRUNEI DARUSSALAM
GAZ_00003902,MALAYSIA
GAZ_00003920,BHUTAN
GAZ_00003922,PAPUA NEW GUINEA
GAZ_00003923,SINGAPORE
GAZ_00003924,SURINAME
GAZ_00003934,EGYPT
GAZ_00003936,SPAIN
GAZ_00003939,HAWAII
GAZ_00003940,FRANCE
GAZ_00003942,ST. PIERRE AND MIQUELON
GAZ_00003943,Mayotte
GAZ_00003945,REUNION ISLAND
GAZ_00003952,DOMINICAN REPUBLIC
GAZ_00003953,HAITI
GAZ_00003955,TURKS AND CAICOS ISLANDS
GAZ_00003958,NORTHERN MARIANA ISLANDS
GAZ_00003959,VIRGIN ISLANDS U.S.
GAZ_00003961,VIRGIN ISLANDS BRITISH
GAZ_00003985,BRITISH INDIAN OCEAN TERRITORY
GAZ_00003986,CAYMAN ISLANDS
GAZ_00003987,GIBRALTAR
GAZ_00003988,MONTSERRAT
GAZ_00004006,CYPRUS
GAZ_00004019,NETHERLANDS ANTILLES
GAZ_00004021,Curacao
GAZ_00004025,ARUBA
GAZ_00004094,ARMENIA
GAZ_00004126,PORTUGAL
GAZ_00004399,NEPAL
GAZ_00004411,TENNESSEE
GAZ_00004413,UTAH
GAZ_00004414,WEST VIRGINIA
GAZ_00004421,OHIO
GAZ_00004427,NEW MEXICO
GAZ_00004428,NEW HAMPSHIRE
GAZ_00004429,VERMONT
GAZ_00004430,MISSISSIPPI
GAZ_00004431,MISSOURI
GAZ_00004432,LOUISIANA
GAZ_00004435,KANSAS
GAZ_00004438,IOWA
GAZ_00004439,INDIANA
GAZ_00004440,KENTUCKY
GAZ_00004441,ARKANSAS
GAZ_00004442,NORTH DAKOTA
GAZ_00004443,SOUTH DAKOTA
GAZ_00004444,NEVADA
GAZ_00004474,IRAN
GAZ_00004483,IRAQ
GAZ_00004525,PHILIPPINES
GAZ_00004940,SRI LANKA
GAZ_00004941,AZERBAIJAN
GAZ_00004942,GEORGIA COUNTRY
GAZ_00004979,UZBEKISTAN
GAZ_00004999,KAZAKHSTAN
GAZ_00005018,TURKMENISTAN
GAZ_00005070,NEBRASKA
GAZ_00005206,NEW CALEDONIA
GAZ_00005246,PAKISTAN
GAZ_00005275,SOLOMON ISLANDS
GAZ_00005279,SAUDI ARABIA
GAZ_00005281,BAHRAIN
GAZ_00005282,UNITED ARAB EMIRATES
GAZ_00005283,OMAN
GAZ_00005284,YEMEN ARAB REPUBLIC
GAZ_00005285,KUWAIT
GAZ_00005286,QATAR
GAZ_00005328,TAHITI
GAZ_00005341,"CHINA, REPUBLIC OF"
GAZ_00005459,MALTA
GAZ_00005820,COMOROS ISLANDS
GAZ_00005841,Saint Martin
GAZ_00005852,MAURITIUS
GAZ_00005860,Melanesia
GAZ_00005861,Polynesia
GAZ_00005862,Micronesia
GAZ_00005908,NORFOLK ISLAND
GAZ_00005915,CHRISTMAS ISLAND
GAZ_00006254,COLORADO
GAZ_00006291,IDAHO
GAZ_00006881,ALABAMA
GAZ_00006882,AFGHANISTAN
GAZ_00006883,ANTIGUA AND BARBUDA
GAZ_00006886,BELARUS
GAZ_00006887,BOSNIA AND HERZEGOVINA
GAZ_00006888,KAMPUCHEA
GAZ_00006889,LAOS
GAZ_00006890,DOMINICA
GAZ_00006891,FIJI
GAZ_00006893,KYRGYZSTAN
GAZ_00006894,KIRIBATI
GAZ_00006895,MACEDONIA
GAZ_00006898,Montenegro
GAZ_00006899,MYANMAR
GAZ_00006900,NAURU
GAZ_00006902,NIUE
GAZ_00006905,PALAU
GAZ_00006906,SAINT KITTS AND NEVIS
GAZ_00006909,SAINT LUCIA
GAZ_00006910,WESTERN SAMOA
GAZ_00006912,TADJIKISTAN
GAZ_00006913,EAST TIMOR
GAZ_00006916,TONGA
GAZ_00006918,VANUATU
GAZ_00006922,SEYCHELLES
GAZ_00006924,MALDIVES
GAZ_00006927,SAO TOME AND PRINCIPE
GAZ_00006935,PUERTO RICO
GAZ_00007113,UNITED STATES MINOR OUTLYING ISLANDS
GAZ_00007161,MARSHALL ISLANDS
GAZ_00007187,PITCAIRN ISLAND
GAZ_00007192,WALLIS AND FUTUNA ISLANDS
GAZ_00008744,MONGOLIA
GAZ_00009159,ANGUILLA
GAZ_00009571,GAZA STRIP
GAZ_00009715,TUVALU
GAZ_00009718,HEARD AND MCDONALD ISLANDS
GAZ_00009812,KENT COUNTY
GAZ_00009975,"ORANGE COUNTY, FL"
GAZ_00011337,KOSOVO
GAZ_00012579,Sint Maarten
GAZ_00017678,SVALBARD AND JAN MAYEN ISLANDS
GAZ_00024383,JAVA
GAZ_00024432,SUMATRA
GAZ_00024553,SULAWESI
GAZ_00025355,BORNEO
GAZ_00049570,Grenada
GAZ_00052477,Isle of Man
GAZ_00052663,YUGOSLAVIA
GAZ_00053798,COOK ISLANDS
GAZ_00056925,MALAWI
GAZ_00059206,FAROE ISLANDS
GAZ_00067142,GUADELOUPE
GAZ_00067143,MARTINIQUE
GAZ_00233439,South Sudan
GAZ_00260188,TOKELAU
GAZ_00281547,British Isles
GAZ_01000048,CARIBBEAN ISLANDS
GAZ_02000565,SAINT VINCENT AND THE GRENADINES
GAZ_02000610,IRIAN JAYA
GAZ_22222226,NEW CASTLE COUNTY
GAZ_22222228,SUSSEX COUNTY
GAZ_00000058,Lake Malawi
NCBITaxon_8165,Percidae
NCBITaxon_98812,Dentex canariensis
NCBITaxon_6610,Sepia officinalis
NCBITaxon_27766,Coryphaenidae
NCBITaxon_76071,Beloniformes
NCBITaxon_198232,Palinurus elephas
NCBITaxon_126735,Esox masquinongy
NCBITaxon_59239,Arctica islandica
NCBITaxon_48106,Centella asiatica
NCBITaxon_316133,Seriolella
NCBITaxon_270110,Cochlearia officinalis
NCBITaxon_436001,Alectis indica
NCBITaxon_1489940,Centrarchiformes
NCBITaxon_213384,Leucoraja circularis
NCBITaxon_46260,Morone americana
NCBITaxon_146765,Callinectes danae
NCBITaxon_69930,Schilbe mystus
NCBITaxon_290888,Metapenaeus joyneri
NCBITaxon_4268,Malpighiaceae
NCBITaxon_7924,Amia calva
NCBITaxon_8245,Xiphias gladius
NCBITaxon_30840,Haemulidae
NCBITaxon_210376,Flacourtia indica
NCBITaxon_superfamily,superfamily
NCBITaxon_3625,Actinidia chinensis
NCBITaxon_490586,Metanephrops arafurensis
NCBITaxon_420456,Rostroraja alba
NCBITaxon_1489341,Osteoglossocephalai
NCBITaxon_173691,Dacryodes
NCBITaxon_53747,Echinacea <Asteraceae>
NCBITaxon_8168,Perca fluviatilis
NCBITaxon_248765,Mora moro
NCBITaxon_365580,Pangasius larnaudii
NCBITaxon_147369,Panicoideae
NCBITaxon_78168,Passiflora edulis
NCBITaxon_38009,Artemiidae
NCBITaxon_762772,Hypsophrys nematopus
NCBITaxon_6784,Dromiidae
NCBITaxon_3581,Portulacaceae
NCBITaxon_270551,Epigonus
NCBITaxon_320565,Ponticola kessleri
NCBITaxon_8048,Gadus
NCBITaxon_492024,Alepocephalus australis
NCBITaxon_8910,Laridae
NCBITaxon_29153,Micropogonias
NCBITaxon_39395,Cancer borealis
NCBITaxon_225387,Ophiodon elongatus
NCBITaxon_29965,Metacarcinus magister
NCBITaxon_55111,Notacanthidae
NCBITaxon_117893,Batoidea
NCBITaxon_72088,Sebastes mystinus
NCBITaxon_116706,Heterotremata
NCBITaxon_109174,Haliotis asinina
NCBITaxon_173330,Trachinotus
NCBITaxon_9837,Camelus bactrianus
NCBITaxon_52935,Glycymerididae
NCBITaxon_61127,Anguilla dieffenbachii
NCBITaxon_4672,Dioscorea
NCBITaxon_32224,Eriobotrya japonica
NCBITaxon_9722,Odontoceti
NCBITaxon_95460,Jasus
NCBITaxon_70285,Thymallus arcticus
NCBITaxon_102814,Heliantheae
NCBITaxon_24646,Lycium
NCBITaxon_160963,Acanthopagrus australis
NCBITaxon_157914,Ziziphus mauritiana
NCBITaxon_232428,Chionoecetes bairdi
NCBITaxon_316161,Dorosomatinae
NCBITaxon_50190,Sonchus
NCBITaxon_114957,Pharidae
NCBITaxon_30511,Squalidae
NCBITaxon_6551,Mytilus trossulus
NCBITaxon_83881,Apogonidae
NCBITaxon_8014,Osmerus mordax
NCBITaxon_476914,Ammodytes hexapterus
NCBITaxon_65739,Anarhichas minor
NCBITaxon_321602,Rubus sorbifolius
NCBITaxon_435272,Parastromateus niger
NCBITaxon_1235682,Glebocarcinus amphioetus
NCBITaxon_79674,Macrobrachium rosenbergii
NCBITaxon_1286129,Mullus auratus
NCBITaxon_7845,Isurus
NCBITaxon_3767,Pyrus pyrifolia
NCBITaxon_24079,Bignoniaceae
NCBITaxon_160714,Epinephelus analogus
NCBITaxon_882375,Chenopodium pallidicaule
NCBITaxon_214907,Malvoideae
NCBITaxon_109628,Illex coindetii
NCBITaxon_163127,Arripidae
NCBITaxon_8247,Labridae
NCBITaxon_32519,Ostariophysi
NCBITaxon_147368,Pooideae
NCBITaxon_2821,Palmaria
NCBITaxon_4527,Oryza
NCBITaxon_85552,Scylla paramamosain
NCBITaxon_9946,Tragelaphus strepsiceros
NCBITaxon_180772,Vaccinium vitis-idaea
NCBITaxon_8182,Pomoxis nigromaculatus
NCBITaxon_36211,Trachurus
NCBITaxon_8799,Struthionidae
NCBITaxon_443748,Aldrichetta forsteri
NCBITaxon_96888,Sardinella longiceps
NCBITaxon_82655,Conger conger
NCBITaxon_1170222,Abelmoschus moschatus
NCBITaxon_52838,Musa balbisiana
NCBITaxon_35579,Stenotomus chrysops
NCBITaxon_3754,Prunus
NCBITaxon_395311,Rumex arcticus
NCBITaxon_26496,Strychnos
NCBITaxon_83875,Trachurus japonicus
NCBITaxon_93759,Corchorus olitorius
NCBITaxon_7936,Anguilla anguilla
NCBITaxon_271940,Trachurus symmetricus
NCBITaxon_8830,Anatidae
NCBITaxon_69944,Lota lota
NCBITaxon_tribe,tribe
NCBITaxon_587144,Crangon septemspinosa
NCBITaxon_96778,Hoplostethus atlanticus
NCBITaxon_61967,Acipenser nudiventris
NCBITaxon_19953,Valeriana officinalis
NCBITaxon_8473,Chelydridae
NCBITaxon_32524,Amniota
NCBITaxon_3803,Fabaceae
NCBITaxon_117858,Dipturus
NCBITaxon_30724,Clupea pallasii
NCBITaxon_862827,Etmopterus baxteri
NCBITaxon_13336,Annona
NCBITaxon_179371,Trachurus lathami
NCBITaxon_490275,Polydactylus macrochir
NCBITaxon_135764,Macquaria ambigua
NCBITaxon_8187,Lates calcarifer
NCBITaxon_180763,Vaccinium myrtillus
NCBITaxon_490374,Rhombosoleidae
NCBITaxon_9835,Camelidae
NCBITaxon_21472,Gentianaceae
NCBITaxon_13353,Auxis thazard
NCBITaxon_8397,Ranidae
NCBITaxon_289765,Sclerocarya
NCBITaxon_81638,Brosme brosme
NCBITaxon_75288,Pylodictis olivaris
NCBITaxon_329465,Cyclopsetta chittendeni
NCBITaxon_71274,asterids
NCBITaxon_700800,Scorpaena grandicornis
NCBITaxon_661134,Sphyrna tudes
NCBITaxon_4039,Daucus carota
NCBITaxon_72101,Sebastes saxicola
NCBITaxon_13733,Trichiurus lepturus
NCBITaxon_6740,Paralithodes
NCBITaxon_2706,Citrus
NCBITaxon_6594,Macrocallista nimbosa
NCBITaxon_223145,Diodon hystrix
NCBITaxon_6581,Mactridae
NCBITaxon_321164,Scomberomorus niphonius
NCBITaxon_6486,Fasciolariidae
NCBITaxon_30949,Psettodidae
NCBITaxon_4538,Oryza glaberrima
NCBITaxon_8252,Pleuronectiformes
NCBITaxon_48560,Capreolus pygargus
NCBITaxon_8060,Pollachius virens
NCBITaxon_6647,Octopodidae
NCBITaxon_160715,Epinephelus areolatus
NCBITaxon_171929,Anacardium occidentale
NCBITaxon_1489841,Zeiogadaria
NCBITaxon_94826,Perna perna
