Code,Description
samp1037,palo azul dried herbs
samp1038,Bovine (necropsy-intestine-liver)
samp1039,"tilapia, frz"
samp1040,dry peppers morita
samp1041,ranchero cheese
samp1042,asadero cheese
samp1043,"origanum, whole"
samp1044,"rabbitfish (danggit), frozen dried"
samp1045,roma tomatos
samp1046,Snake Feces
samp1047,Human-Sporadic; Homo sapiens
samp1048,ANIMAL-Domestic Cattle
samp1049,environmental-chicken
samp1050,Animal - Chicken brooder
samp1051,egusi seeds
samp1052,avian tissue; Bird
samp1053,"anchovy fish, frz"
samp1054,chillies
samp1055,meat masala
samp1056,Sample #10
samp1057,frz mackeral
samp1058,frz tuna cube
samp1059,Turtle; Turtle
samp1060,yellowfin tuna steak
samp1061,buckwheat with mushrooms
samp1062,frozen yf tuna steak
samp1063,raw milk
samp1064,Beef Carcass
samp1065,"curried vegetable dumplings, frz"
samp1066,sediment pond NP
samp1067,"animal feed, poultry feed"
samp1068,sediment pond RT1
samp1069,raw beef
samp1070,Dog Stool
samp1071,Fecal (cow); Bos taurus
samp1072,broiler chicken; Gallus gallus
samp1073,ground shrimp
samp1074,"pet treat, beef treat"
samp1075,fennel seeds
samp1076,frozen silver corvina fillet skinless
samp1077,"frog legs, frz, farmed"
samp1078,frz yellowfin tuna chunks
samp1079,sesame paste
samp1080,sediment pond LV
samp1081,pumpkin seeds
samp1082,Bird; Bird
samp1083,tea valenox
samp1084,dried pasilla peppers
samp1085,frz raw black tiger shrimp
samp1086,frz salted duck yolk
samp1087,camel lymph node
samp1088,bulk pet chew
samp1089,Rabbit brain
samp1090,salmon pet treat
samp1091,Sus domesticus; Pleura
samp1092,frz. headless shrimp
samp1093,frz headless shrimp
samp1094,livestock-associated habitat; livestock-associated; ground beef
samp1095,Isolate from Meal Replacement
samp1096,Carcass swab
samp1097,Pig lungs
samp1098,Mutton Masala
samp1099,Heron
samp1100,layer chicken (spent hens); Gallus gallus
samp1101,basil seed
samp1102,king snapper fillet
samp1103,Frozen Yellow Fin Tuna
samp1104,frz makarel fish
samp1105,"Avian (necropsy-abscess,liver,lung)"
samp1106,manure solids
samp1107,keski wr (fish)
samp1108,white lotus nuts
samp1109,Pet Food for Dogs
samp1110,bovine kidney; Bos taurus
samp1111,bovine colon; Bos taurus
samp1112,chilies
samp1113,soybean meal
samp1114,popcorn chicken
samp1115,Meat Bone Meal
samp1116,Poultry egg
samp1117,"bhelpuri,panipure"
samp1118,wild mint
samp1119,chicken pet treats
samp1120,chicken farm
samp1121,cervid; cervid
samp1122,Pig Liver
samp1123,porcine spleen
samp1124,frozen lobster tail
samp1125,porcine lung; Sus scrofa
samp1126,natural and artificial vanilla
samp1127,frozen whole scarlet snapper
samp1128,dried mussels
samp1129,frz raw shrimp
samp1130,keo fish
samp1131,frz snapper
samp1132,king fish meat
samp1133,walnuts pieces
samp1134,black tiger shrimp
samp1135,soy bean meal
samp1136,field red chard
samp1137,cattle; Bos taurus
samp1138,cervid; Cervus elaphus
samp1139,seasoned file fish
samp1140,dry aniseed powder
samp1141,grana padano cheese
samp1142,raw shelled pumpkin seed
samp1143,creamy mexican blend dressing
samp1144,"yellowfin tuna chunk meat, frz"
samp1145,frog's legs
samp1146,frozen guinea pigs
samp1147,raw frozen white shrimp
samp1148,fish (shad)
samp1149,"yellow fin tuna, frz, ground"
samp1150,fines
samp1151,rawhide dog chew
samp1152,Environmental-Turtle Tank
samp1153,frozen liquid egg
samp1154,Deer (feces)
samp1155,fresh roma tomatoes
samp1156,greenhouse heirloom tomato
samp1157,Bathroom Countertop
samp1158,frz. indian mackerel
samp1159,frz cooked clams
samp1160,Ovine (swab)
samp1161,Bovine (tissue)
samp1162,psyllium husks
samp1163,Avian (environmental)
samp1164,Bovine (necropsy-mesenteric lymph node)
samp1165,cherry tomatoes
samp1166,charoli
samp1167,ayer fish
samp1168,Turkey Feces
samp1169,ENVIRONMENTAL Feed
samp1170,secret du couvent cheese
samp1171,ceylon curry leaf
samp1172,Pig Composite
samp1173,threadfin
samp1174,farm rasied stripped bass
samp1175,dried anchovy fish
samp1176,Turtle's tank water
samp1177,raw oyster
samp1178,chicken half breasts
samp1179,sediment pond BB
samp1180,Chicken breast tenderloins
samp1181,Animal - Chicken-Environment swab
samp1182,fresh papaya
samp1183,No source specified; Homo sapiens
samp1184,Dog; Dog
samp1185,"golden pomfret, frz"
samp1186,snails
samp1187,frozen tuna strip meat (tuna nakaochi)
samp1188,"milkfish, hot smoked"
samp1189,marjoram
samp1190,Sprouts
samp1191,WHITE PLASTIC CART
samp1192,sharptooth clarias fish
samp1193,water pond VH1
samp1194,Packaging
samp1195,halva w/pistachio
samp1196,string cheese
samp1197,"Bovine, feces"
samp1198,frz tuna pieces (chopped)
samp1199,HELEN KAPLAN FACILITY
samp1200,Crate
samp1201,barquiron with cashew nuts
samp1202,Avian; Avian
samp1203,ground pepper
samp1204,"dog food, animal feed"
samp1205,watche leaves spice
samp1206,"goby fish, frz"
samp1207,"goby fish, fresh water, whole"
samp1208,wild caguht frozen tuna
samp1209,"pet treat, rawhide pet chew"
samp1210,frozen grouper
samp1211,Avian (carcass rinse water)
samp1212,chilli powders
samp1213,Bovine Tissue Composite; Bos taurus
samp1214,puffed vegetable snack
samp1215,frz tropical rock lobster tails
samp1216,frz rabbits
samp1217,hicotea turtle; Trachemys scripta callirostris
samp1218,swine caecum
samp1219,swine lymph node
samp1220,fresh grape tomatoes
samp1221,Bos taurus; bovine lymph node
samp1222,Sus scrofa; swine feces
samp1223,Stools
samp1224,dehydrated salmon mixture from dehydrator
samp1225,murine mesenteric ln
samp1226,Farm; Poultry Farm; Shell Egg
samp1227,flying squirrel excreta
samp1228,Chelydra Serpentina in an irrigation pond; Chelydra serpentina
samp1229,Blood culture 
samp1230,King Snake
samp1231,Alligator
samp1232,frozen pinkie feeder mice; feeder mouse
samp1233,deggi mirch
samp1234,dark red paprika powder
samp1235,"animal feed, blood meal"
samp1236,crushed chilaca pepper
samp1237,"coriander, fresh"
samp1238,frz cock-up (koral)
samp1239,smoked fish flakes
samp1240,"shrimp, tiny"
samp1241,Floor Drain
samp1242,"milkfish- deboned, frz"
samp1243,karela powder spice
samp1244,frozen grouper fillet
samp1245,parsley
samp1246,Swine; Sus domesticus
samp1247,aligator stool; Alligator mississippiensis
samp1248,"animal feed, distiller dry grain cake"
samp1249,Homo sapiens; Blood
samp1250,spent irrigation water
samp1251,dried bay leaves (laurel leaves)
samp1252,Cynoscion nebulosus
samp1253,Procyon lotor; Oconee River Basin; raccoon; fecal sample
samp1254,anthropogenic; mesoscopic; anthropogenic
samp1255,cleaned mud fish
samp1256,fresh cucumbers
samp1257,shrimp and prawns
samp1258,jalepeno peppers
samp1259,field red romaine
samp1260,frz baby mullet
samp1261,dried okra spice
samp1262,"bullhead fish, frz, farmed, headless, vacuum packed, farmed"
samp1263,cashew cheese
samp1264,pasteurized frozen mamey pulp
samp1265,frozen whole mullet fish
samp1266,opposum
samp1267,hilsa padmar ilish
samp1268,"yellowfin tuna nakaochi scrape, frz"
samp1269,frozen quahogs
samp1270,frz baby clams
samp1271,rawhide dog chews
samp1272,"oregano, dried"
samp1273,sweet peppers
samp1274,environmental water
samp1275,equine (intestine)
samp1276,avian (foot swab)
samp1277,sarsaparilla root
samp1278,Canine (necropsy)
samp1279,frz yellowfin tuna
samp1280,Canine Feces
samp1281,herring hilsa
samp1282,"pepper, dried"
samp1283,syrian anis seeds
samp1284,red pepper powder
samp1285,organic mini merlot heirloom tomatoes
samp1286,Raw Dog Food
samp1287,red bell pepper
samp1288,mustard seeds
samp1289,chocolate pie
samp1290,plain halva
samp1291,frz riverbarb fish
samp1292,liquid cream yeast
samp1293,Porcine Brain
samp1294,"cashews, shelled"
samp1295,Chicken Kiev
samp1296,Bone marrow; Homo sapiens
samp1297,frz. mahi mahi fillets
samp1298,Animal - Chicken Broiler
samp1299,Animal - Rodent
samp1300,ground hot pepper chillies
samp1301,"peanut, shelled"
samp1302,black pepper powder
samp1303,porcine lung; Pig
samp1304,Pepper Salami
samp1305,"Tuna, Yellow Fin, Raw"
samp1306,apple snail meat
samp1307,"pecan pieces, shelled"
samp1308,Broom
samp1309,fresh jalapeno peppers
samp1310,sumac spice
samp1311,frozen perch - farm raised
samp1312,frozen rohu fish fillet
samp1313,szechuan pepper
samp1314,"Urine carrier, Swert"
samp1315,ez peel farmed vannamei shrimp
samp1316,RED-WINGED BLACKBIRD
samp1317,sprouted chia seed powder
samp1318,frozen mahi mahi fillet
samp1319,frz yellowfin tuna nakaochi scrape
samp1320,senna tea
samp1321,"cashew, shelled"
samp1322,"Equine, feces"
samp1323,dried mud fish
samp1324,organic ground ginger
samp1325,Stool; Age: 80-89
samp1326,Bos taurus; bovine cecum
samp1327,swine liver
samp1328,coriander
samp1329,mitla tea
samp1330,dehydrator tray swab
samp1331,Crack in floor
samp1332,Homo sapiens; Well water
samp1333,hind end swab
samp1334,Green Chili Peppers
samp1335,Abscess
samp1336,Guinea Pig
samp1337,Mouse
samp1338,Vegetable
samp1339,Indian Python
samp1340,broadhead fish
samp1341,pickling cucumber
samp1342,fry fish
samp1343,frozen headless shell-on shrimp
samp1344,frozen headless shrimp
samp1345,parshey bata (fish)
samp1346,swab; Homo sapiens
samp1347,"tilapia, gutted and scaled, frz"
samp1348,cerebral spinal fluid; Homo sapiens
samp1349,green cardamom
samp1350,Alpaca Feces
samp1351,ascites fluid; Homo sapiens
samp1352,frozen whole milkfish
samp1353,frz. undevein shrimp
samp1354,hot red pepper spice
samp1355,cornish hen
samp1356,fresh green onions
samp1357,frozen apple snail meat
samp1358,intestine bovine
samp1359,ROAST BEEF
samp1360,milkfish
samp1361,oysters
samp1362,peanuts
samp1363,hot peppers
samp1364,blue mackerel
samp1365,"cayenne pepper, fresh"
samp1366,serrano pepper
samp1367,beef tracheas
samp1368,cheese (queso cincho)
samp1369,arbol peppers
samp1370,frz quail
samp1371,frozen black tiger shrimp
samp1372,dog chews
samp1373,shell on frozen shrimp
samp1374,frozen sand goby
samp1375,frozen dried mud fish fillet
samp1376,Llama
samp1377,"scallop, dried baby"
samp1378,pea powder
samp1379,"animal feed, frozen young mice"
samp1380,fish eggs
samp1381,Hamster Spleen
samp1382,pre-cooked shrimp
samp1383,dried black sesame
samp1384,"Equine, necropsy"
samp1385,turmaric powder
samp1386,"pumpkin seeds, roasted"
samp1387,cilantro plants in field
samp1388,pet treat roo bites
samp1389,"basil, fresh, raw"
samp1390,fish masala seasoning mix
samp1391,fancy large/medium pecan pieces
samp1392,chili & lime flavored corn snacks
samp1393,frozen pandan leaf
samp1394,shoil(dried)
samp1395,Elk (necropsy)
samp1396,"eggs, dairy, oil, sugar"
samp1397,Alpaca (multiple tissues)
samp1398,white pepper powder
samp1399,Peritoneal fluid /ascites; Homo sapiens
samp1400,Bovine (necropsy-tissue pool)
samp1401,floor with missing concrete
samp1402,snail meat
samp1403,annatto seed paste
samp1404,Porcine (colon)
samp1405,"crab, pasturized"
samp1406,PondWater
samp1407,Shami Kabob
samp1408,"tuna, smoked"
samp1409,Feta Cheese
samp1410,frozen yellow stripe trevally
samp1411,"Tuna Scrape, Frozen Yellowfin Nakaoachi"
samp1412,sanicale herb for tea or tincture
samp1413,Chick Feces
samp1414,"featherback fish meat, frz"
samp1415,Sediment GA Pond- NP
samp1416,Tissue; Bos taurus
samp1417,"amber jack fish, frz"
samp1418,pet food (kibble)
samp1419,turmeric
samp1420,"white fish, frz"
samp1421,"tilapia, gutted and hot smoked"
samp1422,frozen yellowfin sole fillets
samp1423,CANOLA MEAL
samp1424,Dog treat pig ear
samp1425,tilapia fillet
samp1426,chilli pieces
samp1427,cow manure; Bos primigenius
samp1428,Calf feces
samp1429,"white shrimp, dried"
samp1430,navratan snack mix
samp1431,Raw cow's milk
samp1432,crushed chili powder (hot)
samp1433,horse
samp1434,Pig CEREBROSPINAL FLUID
samp1435,Porcine Rectal
samp1436,"jalapeno peppers, fresh"
samp1437,bovine carcass swabs
samp1438,python meat
samp1439,chick
samp1440,white tahinia
samp1441,"vacuum dust, dirt/debris"
samp1442,water pond SC
samp1443,tahina(sesame seed paste)
samp1444,tumeric (haldi) powder
samp1445,frozen shellon shrimp
samp1446,Water GA Pond- VH1
samp1447,dried aloe vera tea
samp1448,Echis ocellatus faeces
samp1449,frz. softshell crab
samp1450,frz tinfoil barb
samp1451,Environment(Wasterwater)
samp1452,Environmental; Wild type strain isolated from a natural source
samp1453,Lolla Rosa
samp1454,Thai Chili Peppers
samp1455,Small fish in an irrigation pond; fish
samp1456,Rat
samp1457,Nosocomial Outbreak
samp1458,Bettongia lesueur
samp1459,Dasyurus viverrinus
samp1460,Diporiphora winneckei
samp1461,snack punjabi mix
samp1462,Animal-Turkey-Turkey Carcass Sponge
samp1463,"frog, cleaned, frz"
samp1464,mink pooled tissue; Neovison vison
samp1465,Basil Pesto
samp1466,frozen baby shrimp
samp1467,"shrimp, shellon, frz"
samp1468,"cucumbers, fresh"
samp1469,"mahi mahi fillets, frz"
samp1470,frozen moilla fish
samp1471,frz eel
samp1472,Falafel Mix
samp1473,wound; Homo sapiens; Age: 65; male
samp1474,milk
samp1475,"shrimp, frz"
samp1476,Rock Lobster Tail
samp1477,ground chili pepper
samp1478,raw whole round large mouth bass
samp1479,Bovine (bulk feed)
samp1480,Water GA Pond-MD1
samp1481,Feline (feces); Felis sp.
samp1482,BONELESS/SKINLESS CHICKEN BREAST
samp1483,dried sesame seeds
samp1484,hydrolyzed vegetable protein
samp1485,poultry feather meal
samp1486,"butter catfish (pabda), frz"
samp1487,peeled shrimp
samp1488,paratha plain vp
samp1489,"vannamei shrimp, raw, frz"
samp1490,frz dace fish
samp1491,frz squid
samp1492,goby fish
samp1493,fish snack - seasoning yellow strip
samp1494,frz tuna steak
samp1495,bagged spinach
samp1496,"animal feed, frozen adult mice"
samp1497,dried cuttlefish
samp1498,octopus
samp1499,lobster tail
samp1500,aloe vera leaf powder
samp1501,sand gobi
samp1502,horlicks
samp1503,"tilapia, whole, frz"
samp1504,faeces; Rats
samp1505,lamb
samp1506,white hulled sesame seeds
samp1507,frozen kingfish
samp1508,soft shell crabs
samp1509,Larval animal in an irrigation pond
samp1510,frz. shell on shrimp
samp1511,frz yellowfin tuna steaks
samp1512,frozen lobster
samp1513,avocado (butler)-whole pit fruit
samp1514,ras malai (instant food mix)
samp1515,frozen rabbit
samp1516,mud fish
samp1517,rodent (colon)
samp1518,"blood, nos; Homo sapiens"
samp1519,"frz tuna strip, wildcaught"
samp1520,Bovine (necropsy-intestine-lung-spleen)
samp1521,"jalapeno pepper, ground"
samp1522,Bovine (post anaerobic diges)
samp1523,"conger pike, frz"
samp1524,Avian (feed)
samp1525,rosemary
samp1526,soybean tempeh
samp1527,Water GA Pond-LV
samp1528,dried herbs
samp1529,black pepper ground
samp1530,sp rasmalai mix
samp1531,"oregano, wild sicilian"
samp1532,beef dog chews
samp1533,Cow Intestine
samp1534,"frozen seafood- mussels, baby octopus, squid"
samp1535,Pig Stool
samp1536,Porcine (culture medium)
samp1537,paneer butter masala spice mix
samp1538,Chicken Broccoli
samp1539,frozen yellowfin tuna steaks
samp1540,coriander (cilantro)
samp1541,"mahi mahi fillet, frz"
samp1542,"fish fillets, frz"
samp1543,dried lotus seeds
samp1544,Human-Outbreak; Homo sapiens
samp1545,Human- mung bean-Outbreak; Homo sapiens
samp1546,Animal - Chicken broiler growers
samp1547,"tuna steak, fz t smk"
samp1548,frozen raw dog food patties
samp1549,amaranth
samp1550,yellowfin tuna steaks
samp1551,carbon monoxide treated tuna strip meat
samp1552,"scallops, frz"
samp1553,"mud fish, frz"
samp1554,"yellowfin tuna nakaoachi scrape, frz"
samp1555,spinach powder
samp1556,chili pepper
samp1557,dried yellow stripe trevally
samp1558,raw frozen octopus
samp1559,crocodile meat
samp1560,Water GA Pond-VH1
samp1561,Pig Missing
samp1562,"pet treat, beef filet square"
samp1563,frozen octopus whole cleaned iqf ball
samp1564,Gallus gallus
samp1565,Clinical - GI Sample; not stool; Homo sapiens
samp1566,iceberg
samp1567,hazelnuts
samp1568,Indian Star Tortoise Feces; Geochelone elegans
samp1569,Canine Liver
samp1570,"spice, ground, cracked"
samp1571,dietary supplement (chinemys nigricans)
samp1572,Stool; Age: 5-9
samp1573,Sus scrofa; liver
samp1574,Bos taurus; bovine intestin
samp1575,Dried Chili
samp1576,bovine minced beef
samp1577,Sus scrofa; colon
samp1578,Shelled cashews
samp1579,Sus domesticus; intestine
samp1580,"dog treat, lamb crumble"
samp1581,Sus domesticus; Lung
samp1582,human-associated habitat; stool
samp1583,Cashew Pieces
samp1584,Bos taurus; feces
samp1585,Lion
samp1586,Crop
samp1587,bovine lntnestine; Bos taurus
samp1588,Metallic Iguana
samp1589,sea lion
samp1590,fenugreek leaves
samp1591,frz round scad
samp1592,"mullet fish, whole, frz"
samp1593,raw tuna
samp1594,"ginger, ground"
samp1595,soy grits
samp1596,"sesame seeds, indian hulled"
samp1597,"shrimp, shell on, frz"
samp1598,allspice
samp1599,frz peeled shrimp
samp1600,"shrimp, frz, raw"
samp1601,frozen feather back
samp1602,thai dried chili
samp1603,Animal-Calf-Bob Veal
samp1604,Sediment GA Pond-MD1
samp1605,Bovine (colon); Bos sp.
samp1606,sliced squid
samp1607,non-fat dried milk
samp1608,Beefhide chicken strips
samp1609,chard
samp1610,Animal(Gyrfalcon)
samp1611,Mud Carp
samp1612,Sus scrofa; bovine feces
samp1613,clinical isolate; stool; Homo sapiens; stool
samp1614,Owl Tissue
samp1615,cooked snail meat
samp1616,frz grouper fillets
samp1617,pocket squid
samp1618,block frz raw freshwater pabda (sheatfish)
samp1619,frz lobster tails
samp1620,"quail, frz"
samp1621,frz scarlet snapper fillets
samp1622,frz riverbarb
samp1623,"squid, frz, raw, whole, cleaned"
samp1624,rapeseed meal (canola meal)
samp1625,floor swab
samp1626,"pistachio, in shell"
samp1627,frozen seafood mix
samp1628,yellowfin tuna
samp1629,water samples
samp1630,Crispi Roll (Seaweed flavor)
samp1631,parmesan cheese product
samp1632,frz white shrimp
samp1633,equine (necropsy)
samp1634,toovar dal ( split pigeon peas)
samp1635,feed cottonseed
samp1636,Feline (bone biopsy)
samp1637,Avian (tissue)
samp1638,tuna steak
samp1639,Canine (fetal tissue)
samp1640,ovine intestine
samp1641,popano
samp1642,"shrimp, cooked, peeled, frz"
samp1643,masala mixed spices
samp1644,masala
samp1645,Cow FECES
samp1646,feces
samp1647,red cabbage diced
samp1648,escolar steak
samp1649,frz cooked vannamei
samp1650,Drag Swab/ Floor
samp1651,frozen yellowfin (ground meat)
samp1652,"Tuna Scrape, ground"
samp1653,artichoke (cynara scolymus)
samp1654,"basil, fresh"
samp1655,fresh squash
samp1656,Painting Above Aquarium
samp1657,thai chili green pepper
samp1658,fresh culantro
samp1659,ginkgo biloba dietary supplement
samp1660,frz scad
samp1661,pistacchio halva
samp1662,prepared thyme plus sesame seeds
samp1663,crushed chilli
samp1664,chicken tenderloin
samp1665,environmental drag swab
samp1666,custom feed mix
samp1667,raw serrano peppers
samp1668,indian celery seed
samp1669,deshi puti (barbus chola)
samp1670,deer
samp1671,frozen cooked pond snail meat
samp1672,arnica montana
samp1673,sunflower kernels
samp1674,swabbing hands
samp1675,Garam Masala
samp1676,Sus domesticus; Feces
samp1677,fish fillet
samp1678,frz. tiger shrimp
samp1679,frozen iqf seafood mix
samp1680,Animal - Chicken-Fluff (hatchery)
samp1681,salmon treats
samp1682,cuachalalate tea
samp1683,corn chips w/ cheese and jalapeno hot pepper
samp1684,cleaned climbing perch
samp1685,dried shrimp skin (red)
samp1686,alfalfa sprout seeds
samp1687,Roller Bird
samp1688,Chicken Feed
samp1689,Bearded Agame
samp1690,Parrot
samp1691,Spleen
samp1692,stool; Homo sapiens; Age: 58; female
samp1693,ground medium hot molido chile
samp1694,pepper
samp1695,frozen dwarf walking fish
samp1696,mixed nut halva
samp1697,ruhi carp
samp1698,rawhide mini bones
samp1699,anise seed
samp1700,Fan
samp1701,dry hard cheese
samp1702,cerassee tea
samp1703,fresh tomatoes
samp1704,mangoes (haden)
samp1705,Bone Meal
samp1706,Perdicinae
samp1707,meat (bovine)
samp1708,mirch masala bikaneri bhujia
samp1709,"garlic powder, organic"
samp1710,cancerina root bark
samp1711,Llama (feces); Lama glama
samp1712,peanut meal
samp1713,homemade cheese
samp1714,whole round milkfish
samp1715,ovine lung; Ovis aries
samp1716,Pet Food Dog Patties
samp1717,frozen anchovy
samp1718,soft mexican cheese
samp1719,Dust sample; Free living
samp1720,Environment; Free living
samp1721,"chilli, red"
samp1722,mixed thyme
samp1723,pet chew - dried chicken
samp1724,natural pig ears
samp1725,seaweed
samp1726,dried file fish
samp1727,rte snack food - all in on w/cornflakes & potato bits
samp1728,"long red pepper, fresh"
samp1729,Frozen small chili
samp1730,persian cucumbers
samp1731,powdered cumin
samp1732,Sea lion (multiple tissues)
samp1733,red chilli powder
samp1734,tumeric powder
samp1735,whole tinfoil barb
samp1736,kalonji nigella (black cumin)
samp1737,"farm soil, between rows"
samp1738,Avian Tissue
samp1739,sea lion (rectal swab)
samp1740,baked snack food
samp1741,Bovine (mesenteric lymph node)
samp1742,Avian (swab)
samp1743,"scarlet snapper fillets, frz"
samp1744,dried squid (sliced)
samp1745,keski fish
samp1746,Cat LIVER
samp1747,Ground Turkey Breast
samp1748,Cow Tissue Composite
samp1749,garam masala powder
samp1750,Chichen Carcass
samp1751,threadbib frozen fillet
samp1752,dried goji berries
samp1753,Dry Cereal
samp1754,Reptile
samp1755,Broiler
samp1756,Food - Pork dumpling-Outbreak
samp1757,frozen raw peeled shrimp
samp1758,shell-on shrimp
samp1759,frozen mahi mahi fillets
samp1760,chicken wing
samp1761,da bu cha (mix herbal tea)
samp1762,frozen fish-pabda
samp1763,chicks feces; chicken
samp1764,"parsley, fresh"
samp1765,"seabass fish, frz"
samp1766,COL050007
samp1767,flat parsley
samp1768,chicken cordon blue
samp1769,"mackerel, vp -wild, frz, whole"
samp1770,"hot pepper, fresh"
samp1771,frz yellowfin tuna cubes
samp1772,cerrasse tea
samp1773,"papaya, fresh"
samp1774,organic white sesame seed
samp1775,frozen albacore steak
samp1776,macadamia nuts clusters
samp1777,Stool; Age: 50-59
samp1778,Meleagris gallopavo; swab
samp1779,tuna steaks
samp1780,Spice Mixture
samp1781,Duckling
samp1782,Cerebrospinal Fluid Blood
samp1783,Calf
samp1784,bovine pre-evisceration carcass; Bos taurus
samp1785,human-associated habitat; human stool
samp1786,unsweetened puffed rice cereal
samp1787,rawhide dog treats
samp1788,Kale
samp1789,chile arbol
samp1790,Blood culture Ramsden WOB
samp1791,Avian Feed
samp1792,Parakeet
samp1793,Dasyurus hallucatus
samp1794,Aquarium Fish
samp1795,Ctenophorus reticulatus
samp1796,Fish-meal
samp1797,Boar
samp1798,frozen white headless shrimp
samp1799,frozen spiny goby
samp1800,garden (american ) cucumber
samp1801,jersey calf; Bos taurus
samp1802,celery seeds
samp1803,fish feed
samp1804,"shrimp p&d , frz"
samp1805,fresh squeezed grapefruit juice
samp1806,"animal feed, raw chicken meat at retail store"
samp1807,"ez peel shrimp, frozen"
samp1808,mrigal (cirrhinus cirrhosus)
samp1809,"fish patties, dried"
samp1810,unlabeled beef trachea-pet food
samp1811,rawhide beef basted sticks
samp1812,"octopus, frozen, whole clean"
samp1813,frz frog legs
samp1814,Food(Pepperoni)
samp1815,Organic Coriander Powder
samp1816,fecal; Camel
samp1817,smoked mackerel whole
samp1818,frozen ground yellowfin tuna
samp1819,Piper nigrum
samp1820,"mud fish, whole"
samp1821,quail
samp1822,black pomfret fish
samp1823,"squid, sliced"
samp1824,frz shinny eel
samp1825,yolk sac from ovary from a hen in egg production; Chicken
samp1826,pilau masala
samp1827,"chile rojo, mild (ground red pepper)"
samp1828,"guajillo peppers, ground"
samp1829,bird eye chili powder
samp1830,anchovy
samp1831,"black tiger shrimp, iqf raw p&d"
samp1832,"scad, frz, whole, baby"
samp1833,frz chili pepper
samp1834,frozen pud shrimp
samp1835,avian (liver)
samp1836,wild caught tuna steaks
samp1837,frz yellow tail fusilier
samp1838,red pepper spice mix
samp1839,Caprine (intestine)
samp1840,fresh alfalfa sprouts
samp1841,Mouse (colon)
samp1842,chukar
samp1843,render poultry by-products
samp1844,frozen yellow croaker
samp1845,Bovine Spleen; Bos taurus
samp1846,Toasted Oat Cereal
samp1847,black pomfret
samp1848,Bovine (swab culturette swab)
samp1849,red thyme mix
samp1850,frozen tuna strip meat
samp1851,Rodent (necropsy)
samp1852,chipotle chili powder
samp1853,"Pine nuts, turkish pine nuts"
samp1854,Wolverine Composite
samp1855,fresh poblano peppers
samp1856,kabssah spices
samp1857,reptile feces; reptile
samp1858,Porcine Colon
samp1859,fresh mango
samp1860,water pond LV
samp1861,FOOD-porcine
samp1862,FOOD-Pig
samp1863,potato farm
samp1864,frozen headless shell on shrimp
samp1865,avian nasal wash; Bird
samp1866,almonds
samp1867,molokhia leaves
samp1868,tea manzanilla
samp1869,giblets combo
samp1870,raw stuffed chick breast
samp1871,frozen milkfish
samp1872,dehydrated carrots; pet grade
samp1873,dried red bell powder
samp1874,sambar (seasoning mix)
samp1875,kasuri methi
samp1876,semi-soft cheese
samp1877,"thai red pepper, crushed"
samp1878,frozen dried salid fish filet
samp1879,whey protein concentrate
samp1880,Sediment GA Pond- CC1
samp1881,dried ukazi leaf
samp1882,Sus scrofa: Cecal content
samp1883,hoy kom
samp1884,wall swab
samp1885,well water
samp1886,mouloukhia
samp1887,Bearded dragon (feces)
samp1888,frozen blue crab
samp1889,halva cocoa
samp1890,frozen squid tubes & tenticles
samp1891,Herbal & Botanical Teas
samp1892,murine feces; Murine
samp1893,frz. talapia fish
samp1894,Human(Blood)
samp1895,bulk salmon treats
samp1896,Laboratroy Strain
samp1897,water from aquarium
samp1898,Varanus gouldii
samp1899,kadhai spice mix
samp1900,natural sesame seed
samp1901,"crab, cut"
samp1902,non-ictalurus fish
samp1903,"cumin, roasted, ground"
samp1904,frozen peeled shrimp
samp1905,frz xilver pomfret
samp1906,red pear tomatoes
samp1907,dog treat
samp1908,Raw Oysters
samp1909,Dry Milk Environment
samp1910,klaunji powder (mashoq  habbe sauda)
samp1911,feces; wild life
samp1912,cotija cheese
samp1913,frz goby
samp1914,dried oregano
samp1915,Llama (spiral colon); Lama glama
samp1916,Ovine (intestine); Ovis sp.
samp1917,frz yellow tail
samp1918,unpackaged raw fresh whole peppers
samp1919,ditch water
samp1920,Environment(Water)
samp1921,"milkfish, frozen whole"
samp1922,corriander powder
samp1923,roasted salted pistachios
samp1924,"white pepper, powder"
samp1925,"fish, fried with chilli pepper"
samp1926,Turkey Trachea
samp1927,"Homo sapiens; Blood, NOS"
samp1928,snails  escargo
samp1929,fresh water fish
samp1930,"snapper, frz"
samp1931,roquefort cheese
samp1932,Monkey Intestine
samp1933,Rodent
samp1934,hearts of romaine/leafy greens
samp1935,"lobster, frozen"
samp1936,"crab gumbo, frozen"
samp1937,Pheasant (feces)
samp1938,Bovine (colon)
samp1939,yellowfin steak
samp1940,frozen wild organic blueberries
samp1941,fresh indian long squash
samp1942,ground chili spice
samp1943,Canine Tissue
samp1944,Ground hot pepper
samp1945,ground chillies
samp1946,Pig Rectal Swab
samp1947,green house tomatoes
samp1948,Turkey Tissue
samp1949,frz. cooked shrimp
samp1950,Human (hospitalized)-Outbreak; Homo sapiens
samp1951,fresh white squash
samp1952,Environment - Litter/Manure
samp1953,galactooligosaccharides (used in manufacture of infant formula)
samp1954,Reptile Stool
samp1955,"oregano, dry"
samp1956,fresh cucumber
samp1957,dried flounder
samp1958,Incubator Room
samp1959,COOKED CHICKEN
samp1960,frozen yellow fin seabream
samp1961,frz farm raised tilapia
